Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.537 (48);  11.403 (52);  21.940
10-19;  23.907 (49);  25.198 (51);  49.105
20-29;  29.806 (50);  30.200 (50);  60.006
30-39;  20.716 (50);  20.736 (50);  41.452
40-49;  22.622 (52);  20.560 (48);  43.182
50-59;  20.555 (51);  20.060 (49);  40.615
60-69;  10.213 (48);  10.916 (52);  21.129
70-79;   5.998 (49);   6.168 (51);  12.166
80-89;   3.499 (58);   2.567 (42);   6.066
90+;   1.323 (70);     559 (30);   1.882
I alt; 149.176 (50); 148.367 (50); 297.543
