Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.628 (48);  11.490 (52);  22.118
10-19;  24.342 (49);  25.646 (51);  49.988
20-29;  30.794 (49);  31.564 (51);  62.358
30-39;  21.004 (50);  21.138 (50);  42.142
40-49;  22.797 (52);  20.748 (48);  43.545
50-59;  20.678 (51);  20.169 (49);  40.847
60-69;  10.236 (48);  10.947 (52);  21.183
70-79;   6.008 (49);   6.182 (51);  12.190
80-89;   3.503 (58);   2.571 (42);   6.074
90+;   1.324 (70);     559 (30);   1.883
I alt; 151.314 (50); 151.014 (50); 302.328
