Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  11.582 (48);  12.438 (52);  24.020
10-19;  26.865 (49);  28.176 (51);  55.041
20-29;  34.948 (49);  36.843 (51);  71.791
30-39;  22.756 (50);  23.129 (50);  45.885
40-49;  24.061 (52);  21.824 (48);  45.885
50-59;  21.288 (51);  20.795 (49);  42.083
60-69;  10.481 (48);  11.183 (52);  21.664
70-79;   6.121 (49);   6.310 (51);  12.431
80-89;   3.557 (58);   2.624 (42);   6.181
90+;   1.339 (70);     567 (30);   1.906
I alt; 162.998 (50); 163.889 (50); 326.887
