Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.606 (48);  11.467 (52);  22.073
10-19;  24.217 (49);  25.562 (51);  49.779
20-29;  30.534 (49);  31.198 (51);  61.732
30-39;  20.937 (50);  21.037 (50);  41.974
40-49;  22.764 (52);  20.697 (48);  43.461
50-59;  20.653 (51);  20.144 (49);  40.797
60-69;  10.229 (48);  10.940 (52);  21.169
70-79;   6.007 (49);   6.179 (51);  12.186
80-89;   3.503 (58);   2.569 (42);   6.072
90+;   1.324 (70);     559 (30);   1.883
I alt; 150.774 (50); 150.352 (50); 301.126
