Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.642 (48);  11.511 (52);  22.153
10-19;  24.443 (49);  25.751 (51);  50.194
20-29;  31.041 (49);  31.892 (51);  62.933
30-39;  21.092 (50);  21.244 (50);  42.336
40-49;  22.825 (52);  20.787 (48);  43.612
50-59;  20.698 (51);  20.195 (49);  40.893
60-69;  10.245 (48);  10.949 (52);  21.194
70-79;   6.009 (49);   6.185 (51);  12.194
80-89;   3.503 (58);   2.572 (42);   6.075
90+;   1.326 (70);     559 (30);   1.885
I alt; 151.824 (50); 151.645 (50); 303.469
