Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.479 (48);  11.312 (52);  21.791
10-19;  23.599 (49);  24.896 (51);  48.495
20-29;  29.285 (50);  29.501 (50);  58.786
30-39;  20.500 (50);  20.469 (50);  40.969
40-49;  22.483 (52);  20.408 (48);  42.891
50-59;  20.445 (51);  19.940 (49);  40.385
60-69;  10.186 (48);  10.892 (52);  21.078
70-79;   5.985 (49);   6.156 (51);  12.141
80-89;   3.497 (58);   2.565 (42);   6.062
90+;   1.323 (70);     557 (30);   1.880
I alt; 147.782 (50); 146.696 (50); 294.478
