Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  15.326 (49);  16.127 (51);  31.453
10-19;  31.976 (49);  32.902 (51);  64.878
20-29;  38.848 (49);  40.566 (51);  79.414
30-39;  26.544 (50);  26.417 (50);  52.961
40-49;  27.369 (53);  24.614 (47);  51.983
50-59;  23.300 (51);  22.697 (49);  45.997
60-69;  11.678 (49);  12.334 (51);  24.012
70-79;   7.036 (50);   7.158 (50);  14.194
80-89;   3.912 (57);   2.937 (43);   6.849
90+;   1.457 (71);     605 (29);   2.062
I alt; 187.446 (50); 186.357 (50); 373.803
