Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  16.726 (49);  17.607 (51);  34.333
10-19;  33.697 (49);  34.635 (51);  68.332
20-29;  40.463 (49);  42.051 (51);  82.514
30-39;  28.166 (50);  27.841 (50);  56.007
40-49;  29.112 (53);  26.223 (47);  55.335
50-59;  24.510 (51);  23.966 (49);  48.476
60-69;  12.583 (49);  13.168 (51);  25.751
70-79;   7.757 (50);   7.908 (50);  15.665
80-89;   4.139 (57);   3.136 (43);   7.275
90+;   1.485 (70);     624 (30);   2.109
I alt; 198.638 (50); 197.159 (50); 395.797
