Uge;Aldersgruppe;Klassifikation;Procent af indlæggelser
uge 47 2021;0-59;Covid-19 diagnose;62,7
uge 48 2021;0-59;Covid-19 diagnose;66,0
uge 49 2021;0-59;Covid-19 diagnose;65,0
uge 50 2021;0-59;Covid-19 diagnose;67,0
uge 51 2021;0-59;Covid-19 diagnose;60,0
uge 52 2021;0-59;Covid-19 diagnose;56,7
uge 1 2022;0-59;Covid-19 diagnose;52,2
uge 2 2022;0-59;Covid-19 diagnose;54,9
uge 47 2021;60+;Covid-19 diagnose;80,1
uge 48 2021;60+;Covid-19 diagnose;80,6
uge 49 2021;60+;Covid-19 diagnose;78,9
uge 50 2021;60+;Covid-19 diagnose;77,5
uge 51 2021;60+;Covid-19 diagnose;82,6
uge 52 2021;60+;Covid-19 diagnose;78,5
uge 1 2022;60+;Covid-19 diagnose;73,4
uge 2 2022;60+;Covid-19 diagnose;73,2
uge 47 2021;0-59;Luftvejs- eller obsdiagnose;5,6
uge 48 2021;0-59;Luftvejs- eller obsdiagnose;3,7
uge 49 2021;0-59;Luftvejs- eller obsdiagnose;5,3
uge 50 2021;0-59;Luftvejs- eller obsdiagnose;3,9
uge 51 2021;0-59;Luftvejs- eller obsdiagnose;3,1
uge 52 2021;0-59;Luftvejs- eller obsdiagnose;4,5
uge 1 2022;0-59;Luftvejs- eller obsdiagnose;3,9
uge 2 2022;0-59;Luftvejs- eller obsdiagnose;4,1
uge 47 2021;60+;Luftvejs- eller obsdiagnose;2,4
uge 48 2021;60+;Luftvejs- eller obsdiagnose;2,3
uge 49 2021;60+;Luftvejs- eller obsdiagnose;4,2
uge 50 2021;60+;Luftvejs- eller obsdiagnose;4,3
uge 51 2021;60+;Luftvejs- eller obsdiagnose;2,2
uge 52 2021;60+;Luftvejs- eller obsdiagnose;3,1
uge 1 2022;60+;Luftvejs- eller obsdiagnose;3,9
uge 2 2022;60+;Luftvejs- eller obsdiagnose;2,8
uge 47 2021;0-59;Anden diagnose;31,7
uge 48 2021;0-59;Anden diagnose;30,3
uge 49 2021;0-59;Anden diagnose;29,7
uge 50 2021;0-59;Anden diagnose;29,1
uge 51 2021;0-59;Anden diagnose;36,8
uge 52 2021;0-59;Anden diagnose;38,8
uge 1 2022;0-59;Anden diagnose;44,0
uge 2 2022;0-59;Anden diagnose;41,0
uge 47 2021;60+;Anden diagnose;17,4
uge 48 2021;60+;Anden diagnose;17,1
uge 49 2021;60+;Anden diagnose;16,9
uge 50 2021;60+;Anden diagnose;18,2
uge 51 2021;60+;Anden diagnose;15,2
uge 52 2021;60+;Anden diagnose;18,4
uge 1 2022;60+;Anden diagnose;22,7
uge 2 2022;60+;Anden diagnose;24,0
