Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  12.164 (48);  13.045 (52);  25.209
10-19;  27.808 (49);  29.078 (51);  56.886
20-29;  35.884 (49);  37.828 (51);  73.712
30-39;  23.430 (50);  23.713 (50);  47.143
40-49;  24.521 (53);  22.182 (47);  46.703
50-59;  21.526 (51);  21.002 (49);  42.528
60-69;  10.604 (48);  11.302 (52);  21.906
70-79;   6.182 (49);   6.378 (51);  12.560
80-89;   3.585 (58);   2.646 (42);   6.231
90+;   1.347 (70);     574 (30);   1.921
I alt; 167.051 (50); 167.748 (50); 334.799
