Aldersgruppe;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt;Uge 27_Ingen vaccination;Uge 27_Første vaccination;Uge 27_Anden vaccination;Uge 27_Fuld vaccineeffekt;Uge 26_Ingen vaccination;Uge 26_Første vaccination;Uge 26_Anden vaccination;Uge 26_Fuld vaccineeffekt;Uge 25_Ingen vaccination;Uge 25_Første vaccination;Uge 25_Anden vaccination;Uge 25_Fuld vaccineeffekt;Uge 24_Ingen vaccination;Uge 24_Første vaccination;Uge 24_Anden vaccination;Uge 24_Fuld vaccineeffekt;Uge 23_Ingen vaccination;Uge 23_Første vaccination;Uge 23_Anden vaccination;Uge 23_Fuld vaccineeffekt
12-15;224,6;81,9;4,6;3,9;175,1;45,9;4;3,3;202,7;81,8;12,2;5,4;319,5;115,9;19,9;20,5;467,9;153,7;48,3;35,9;456,6;145,1;95,2;0;308,8;119,2;170,4;0;229,1;97,9;0;0;157,1;88,3;0;0;120,8;162,7;0;0;91,2;0;0;0;55,3;0;0;0;26;0;0;0;23,7;0;0;0;38;0;0;0;56,5;0;0;0
16-19;173,2;74,2;12,3;12,4;184,5;38,2;4;3,6;288,1;50,1;14,3;12,1;377,3;204;23,3;21,8;555,1;181,7;39,5;34,2;665,9;166,7;53,8;48,4;730,3;210,9;65,7;47,4;592,3;180;69,6;43,9;378,5;198,1;89,1;56,2;282,4;180,6;111,1;93,8;259;232,7;485,2;185;171,8;186,6;368;191,2;93,4;117,7;48,3;0;38,7;29,5;0;0;55;54,1;0;0;70,6;148,4;0;0
20-29;139,5;68,3;16,6;16,3;128,8;46,6;21,1;21;203;129,8;30,6;31,7;246,3;118,7;38,2;38,1;349,9;121,8;42,2;42,6;457,6;134,4;69,2;68,9;572,9;192,9;115,3;96,3;519,3;215,1;176,7;151,9;480,6;340;253,7;217,8;350,8;322,1;276,6;241;422,5;523,8;379,9;285,6;239,4;435,6;179,3;172,9;143,4;292,8;60,8;57,3;55,9;116,2;16,7;12,1;69;134,2;27;9,1;102,2;217,4;18,9;14,9
30-39;127,4;86,5;32,4;32,2;122,9;93,4;24,8;25;185,3;123,3;37,2;37,7;238,8;106,2;50;53,4;308,2;139,6;59,2;70,5;363;110;77,7;96,3;337,2;95,6;100,6;105,9;281,1;96,3;100;98,2;202,4;117,1;121,7;119,9;142,5;116,6;71,9;74,3;166,7;220,5;148,2;147,2;115,4;182,2;83,7;81,4;69,2;84;43,5;41;43,7;60,5;21,4;15,5;45,4;11,7;17,9;3,5;52,5;34,3;17,9;5,7
40-49;135,1;98,2;34,8;34,9;117,7;75,1;27;27,2;164,1;177,1;36,6;36,5;251,5;238,8;57,4;58,1;369,2;193,4;81,5;81,2;320,5;215,1;61,2;59,4;314,2;163,6;67,8;59;294,5;129,2;53,5;51,1;205,4;86,2;51,5;52;109,6;63,1;52,8;56,3;96,2;68,2;67,7;48,4;68,9;57,2;44,9;42;36,8;38,9;15,4;15,8;27,5;27,7;3,4;2,4;31,9;46,8;9,2;8,8;42,3;77;12,2;12,2
50-59;105,7;72,1;23;23;87,1;65;19,2;18,9;141;201,7;26,2;26;167,7;87,1;42,8;42,5;237,5;272,2;42;42;247,2;206,1;42,2;41,7;237,2;217,4;36,2;35,1;222,5;183,4;30,2;29,7;142;103,5;25,2;24,4;88,6;49,4;20,7;20,5;107,4;53,2;32,6;29,5;56,1;42,8;29,4;24,5;30,4;20,8;21,3;10,8;19;12,7;8,5;7,4;43,7;15,2;10,1;10,5;37,2;27,8;6,6;7,1
60-69;65,8;148,4;17,5;17,5;52,9;101,4;17,5;17,6;92,3;127,8;22;22;100,4;0;27;27;137,6;125;28,6;28,5;112;199,8;31,8;31,9;113,2;43,6;25,1;24,9;71,4;60,8;20,2;20,1;83,8;129,2;18,5;18,5;35,3;41;11,6;11,5;42,2;25,6;11,3;11;47,9;13,9;9,1;9,2;14,6;11,8;5;5;9,2;5;3,5;3,1;12,7;7,9;5,6;6,8;23,4;12,9;7,1;3,6
70-79;39;154,1;22,3;22,3;49,7;71,9;14,3;14,3;43,8;134;20,9;20,9;43,3;62,2;22,6;22,7;74,6;116,1;28,8;28,9;68,3;49,7;20,7;20,7;20,8;0;18,3;18,3;25,6;32,6;14,4;14,4;10,1;56,3;10,5;10,5;19,8;0;8,4;8,4;24,2;0;7,1;7,2;14,1;0;5,4;5,4;9,2;0;3,1;3,1;4,4;0;1,6;1,7;4,3;10,4;1,8;1,9;4;10,2;2,3;2,1
80+;37,3;0;26,7;26,7;18,4;0;17,5;17,5;27,4;0;24,2;24,2;108,8;158,7;23,9;23,6;71,6;77,3;23,6;23,7;26,6;0;22,7;22,7;61,5;119,5;17,6;17,3;8,7;0;13,2;13,2;8,6;0;10;10;8,5;0;10,3;10,3;16,7;0;6,5;6,5;8,2;0;2,9;2,9;0;28,5;1;1;0;0;1,6;1,6;23;0;3,3;3;14,8;0;1,6;1,7
12+;143,8;82,5;23,3;23,3;127,2;64,4;19;19;181,6;117,4;27,1;27;246,5;130,1;37;37,1;348,3;150,8;44;43,8;384,3;139,2;45,3;43;378,3;142,6;46,9;39,9;322,9;143,4;42,8;35,9;250,7;182,5;41,8;32,9;180,1;162;31,4;25,4;200,6;219,4;37,7;28,9;129,3;143,9;21,7;19,4;75,9;72,9;9,7;8,2;39;25,5;4,2;3,4;47,7;24,8;5,7;4,3;62,2;29,6;5,1;3,8
