Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  14.127 (48);  15.031 (52);  29.158
10-19;  30.495 (49);  31.588 (51);  62.083
20-29;  37.698 (49);  39.510 (51);  77.208
30-39;  25.350 (50);  25.329 (50);  50.679
40-49;  26.140 (53);  23.469 (47);  49.609
50-59;  22.461 (51);  21.887 (49);  44.348
60-69;  11.106 (48);  11.793 (52);  22.899
70-79;   6.570 (49);   6.718 (51);  13.288
80-89;   3.747 (57);   2.791 (43);   6.538
90+;   1.424 (71);     593 (29);   2.017
I alt; 179.118 (50); 178.709 (50); 357.827
