Aldersgruppe;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt;Uge 27_Ingen vaccination;Uge 27_Første vaccination;Uge 27_Anden vaccination;Uge 27_Fuld vaccineeffekt;Uge 26_Ingen vaccination;Uge 26_Første vaccination;Uge 26_Anden vaccination;Uge 26_Fuld vaccineeffekt;Uge 25_Ingen vaccination;Uge 25_Første vaccination;Uge 25_Anden vaccination;Uge 25_Fuld vaccineeffekt;Uge 24_Ingen vaccination;Uge 24_Første vaccination;Uge 24_Anden vaccination;Uge 24_Fuld vaccineeffekt;Uge 23_Ingen vaccination;Uge 23_Første vaccination;Uge 23_Anden vaccination;Uge 23_Fuld vaccineeffekt
12-15;289;13;5;4;229;10;4;3;271;25;11;4;441;54;14;10;680;99;22;9;703;117;20;0;516;103;4;0;439;63;0;0;344;33;0;0;300;13;0;0;234;0;0;0;142;0;0;0;67;0;0;0;61;0;0;0;98;0;0;0;146;0;0;0
16-19;65;6;25;25;71;4;8;7;115;7;28;23;158;41;44;39;248;53;70;56;323;69;87;70;388;118;94;59;360;128;84;44;265;173;85;35;235;207;61;23;239;329;93;11;183;264;19;4;117;149;1;0;56;32;0;0;102;37;0;0;162;37;0;0
20-29;206;15;87;84;194;12;109;107;313;41;156;156;392;51;190;175;579;83;198;173;793;154;289;225;1046;386;377;247;1007;580;439;276;1035;1095;448;239;897;1145;287;169;1336;1739;258;182;986;1053;115;106;678;542;38;33;305;137;10;6;426;70;15;4;680;32;9;6
30-39;191;23;161;156;188;31;121;117;290;54;177;164;386;69;225;200;522;148;238;196;652;193;251;171;648;283;192;124;598;339;115;94;515;386;117;106;460;313;64;64;737;335;128;124;635;83;71;66;397;21;36;31;258;7;17;10;273;1;13;2;322;3;11;3
40-49;111;10;204;204;98;9;158;158;139;26;213;210;218;46;331;328;330;53;462;442;297;95;335;298;303;143;340;263;297;191;234;179;221;201;178;120;130;221;115;74;129;293;84;47;119;240;43;38;83;145;14;14;87;79;3;2;142;75;8;7;235;43;10;9
50-59;60;4;162;162;50;4;135;133;82;14;184;182;99;7;300;297;143;26;293;292;152;25;293;287;149;39;249;239;143;46;205;197;94;42;167;153;61;41;128;108;77;102;165;110;43;144;105;51;25;103;41;13;18;71;10;8;57;81;11;11;86;121;7;7
60-69;21;4;110;110;17;3;110;110;30;4;138;138;33;0;169;169;46;5;179;178;38;10;198;198;39;3;156;154;25;5;125;124;30;13;114;113;13;6;71;69;16;6;68;63;19;7;52;46;6;14;25;20;4;11;14;9;6;26;16;14;13;53;14;5
70-79;7;2;126;126;9;1;81;81;8;2;118;118;8;1;128;128;14;2;163;163;13;1;117;117;4;0;103;103;5;1;81;81;2;2;59;59;4;0;47;47;5;0;40;40;3;0;30;30;2;0;17;17;1;0;9;9;1;2;10;10;1;3;12;11
80+;4;0;84;84;2;0;55;55;3;0;76;76;12;2;75;74;8;1;74;74;3;0;71;71;7;2;55;54;1;0;41;41;1;0;31;31;1;0;32;32;2;0;20;20;1;0;9;9;0;1;3;3;0;0;5;5;3;0;10;9;2;0;5;5
12+;954;77;964;955;858;74;781;771;1251;173;1101;1071;1747;271;1476;1420;2570;470;1699;1583;2974;664;1661;1437;3100;1077;1570;1243;2875;1353;1324;1036;2507;1945;1199;856;2101;1946;805;586;2775;2804;856;597;2131;1791;444;350;1375;975;175;131;790;337;68;49;1108;292;83;57;1647;292;68;46
