Aldersgruppe;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt;Uge 27_Ingen vaccination;Uge 27_Første vaccination;Uge 27_Anden vaccination;Uge 27_Fuld vaccineeffekt;Uge 26_Ingen vaccination;Uge 26_Første vaccination;Uge 26_Anden vaccination;Uge 26_Fuld vaccineeffekt;Uge 25_Ingen vaccination;Uge 25_Første vaccination;Uge 25_Anden vaccination;Uge 25_Fuld vaccineeffekt;Uge 24_Ingen vaccination;Uge 24_Første vaccination;Uge 24_Anden vaccination;Uge 24_Fuld vaccineeffekt;Uge 23_Ingen vaccination;Uge 23_Første vaccination;Uge 23_Anden vaccination;Uge 23_Fuld vaccineeffekt
12-15;206,9;75,8;4,4;3,8;161,8;42,9;3,8;3,2;188,4;77,2;11,8;5,2;299,5;110,4;19,3;19,8;437,5;148,7;48,8;38,6;429,3;139,7;92,1;0;293,2;114,9;165,4;0;215,3;94,5;0;0;149,3;85,4;0;0;115,4;157,6;0;0;86,8;1087;0;0;52,9;0;0;0;25;0;0;0;22,4;0;0;0;36,4;0;0;0;54,8;0;0;0
16-19;142,6;60,3;11,9;12,1;155,3;31,7;3,7;3,3;250;42,8;13,8;11,8;328,6;179,6;22,3;21;504,5;164,2;38,1;33,2;598,6;153,2;50,5;45,5;648,7;195,9;63,7;46,9;527,3;167,7;65,6;41,4;339;185,1;85,1;54,4;252,7;170,3;104,4;87,6;236,9;218,7;458,9;172;158,4;176,2;343,5;182;86,5;112,5;46;0;37,5;27,9;0;0;51,6;50,9;0;0;67,6;138,8;0;0
20-29;119,6;53,4;15,3;15;113,9;37;19,4;19,5;180,9;105,3;28,7;29,8;223,4;103,4;35,7;35,6;316,4;108,3;39,9;40,3;413,7;121,9;64,6;64,2;529,3;180,1;108,3;89,9;481,2;202,4;166,5;142,3;445,9;320,4;238,9;205,6;325,7;303,3;258,9;224,7;396,2;493,1;364,4;277;226,9;408,9;169;163,1;134,7;275;58,3;55,1;52,4;108,2;15,6;11,3;65,3;128,3;25,2;8,5;97;206,4;17,7;13,9
30-39;116,1;75,7;30,7;30,6;113,1;82,5;23,9;24,1;172,5;112,8;35,6;36,1;220,6;98,7;48,2;51,4;285;131,1;56,6;67,6;337,1;104,4;74,4;92,2;315,3;91,2;96,8;102,2;265,5;92,4;95,7;94;192,3;112,2;116,3;114,5;135,4;111,9;69,1;71,4;158;214,1;140,3;139,4;110;175,1;80,4;78,2;66,4;83;42,4;40;41,6;56,4;20,3;14,6;43,5;10,8;16,9;3,3;50,3;31,6;16,9;5,4
40-49;125;82,3;32,9;33,1;106,5;63,3;26,4;26,4;150,5;157,2;34,7;34,7;230,5;212;55,1;55,8;344,9;171,6;77,8;77,4;305,5;196,5;59,5;57,6;289;152,5;65,1;56,6;273,7;121,6;51,1;48,8;189,7;83;49,7;49,9;100,1;60,4;50,2;53,3;88,4;65,4;66,3;47,5;63,4;55,2;42,3;39,5;34,6;37,5;14,5;14,9;25,9;26,5;3,2;2,2;30,2;44,8;9,8;9,5;40,9;73,2;12,6;12,7
50-59;97,5;61,2;22;22;79,2;55,2;18,2;18;134,6;172,5;25,2;25;160,6;85,4;41,3;40,9;218,1;252,2;40,1;40;232,8;178;40,3;39,9;223,4;189,9;35,1;34,1;202,7;165,6;28,9;28,5;133,4;93,7;24,2;23,5;80,5;46,1;19,8;19,6;98,9;51,1;31,3;28,4;54,5;41,3;28;23,2;27,6;19,9;20,7;10,2;18,4;12,2;8;7;40,7;14,8;10,4;10,9;35,3;26,8;6,3;6,7
60-69;65,1;133,8;17,2;17,2;49,9;91,7;17,2;17,3;90,2;114,6;21,3;21,3;97,8;0;26,2;26,3;133;112,8;28;27,9;108,7;199,1;30,9;31;107;39,5;24,3;24,1;70,2;54,8;19,5;19,5;79,2;116,7;18,2;18,2;38,5;37,5;11,4;11,3;39,9;23,8;11;10,6;47,5;13,2;9;9,1;13,8;12,2;4,8;4,8;8,7;4,8;3,4;3;16;8,2;5,4;6,6;24;12,8;7,3;3,5
70-79;37,9;144,9;22;22;53,6;67,5;14,2;14,2;42,6;125,6;20,8;20,8;47,3;58,8;22,4;22,4;72,5;109,7;28,3;28,3;66,4;47,3;20,3;20,3;20,2;0;17,9;17,9;24,9;31;14,1;14,1;9,8;53,5;10,3;10,3;19,2;0;8,2;8,2;23,5;0;7,4;7,4;13,7;0;5,6;5,7;8,9;0;3,2;3,2;13;7;1,8;1,8;8,3;10;1,8;1,8;11,6;9,8;2,2;2,1
80+;36,4;0;26,4;26,4;18;0;17,4;17,4;26,8;0;23,7;23,7;106,1;149,4;24;23,7;69,8;72,9;23,5;23,5;25,9;0;22,6;22,6;59,9;113,1;17,6;17,3;8,5;0;12,9;12,9;8,4;0;10,1;10,1;16,5;0;10,4;10,4;16,2;0;6,7;6,7;15,9;0;3,2;3,2;0;27,2;1;1;0;0;1,6;1,6;29,9;0;3,2;2,9;14,5;0;2,9;2,9
12+;129,8;70,2;22,4;22,4;115,7;55,5;18,4;18,4;167,4;104,1;26,1;26;228,1;118,7;35,8;35,9;322,9;139,6;42,4;42,3;358;130;43,7;41,6;354,2;134,5;45,4;38,7;302,7;136;41,3;34,7;236,1;173,3;40,7;32,1;169,5;153,9;30,4;24,6;189,6;209,2;37;28,6;123,1;137,5;21,3;19,1;71,9;70,1;9,7;8,1;37;24,5;4,2;3,3;45,6;24,2;5,6;4,3;59,8;28,8;5,4;4,1
