Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  15.082 (49);  15.898 (51);  30.980
10-19;  31.648 (49);  32.622 (51);  64.270
20-29;  38.519 (49);  40.241 (51);  78.760
30-39;  26.194 (50);  26.094 (50);  52.288
40-49;  27.037 (53);  24.287 (47);  51.324
50-59;  23.035 (51);  22.450 (49);  45.485
60-69;  11.490 (49);  12.165 (51);  23.655
70-79;   6.855 (49);   7.000 (51);  13.855
80-89;   3.861 (57);   2.878 (43);   6.739
90+;   1.444 (71);     603 (29);   2.047
I alt; 185.165 (50); 184.238 (50); 369.403
