Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  17.427 (49);  18.417 (51);  35.844
10-19;  34.573 (49);  35.533 (51);  70.106
20-29;  41.014 (49);  42.622 (51);  83.636
30-39;  28.777 (50);  28.370 (50);  57.147
40-49;  29.766 (53);  26.827 (47);  56.593
50-59;  24.956 (51);  24.461 (49);  49.417
60-69;  12.906 (49);  13.465 (51);  26.371
70-79;   8.017 (50);   8.147 (50);  16.164
80-89;   4.221 (57);   3.219 (43);   7.440
90+;   1.501 (70);     636 (30);   2.137
I alt; 203.158 (50); 201.697 (50); 404.855
