Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  27.903 (49);  29.449 (51);  57.352
10-19;  45.831 (50);  46.487 (50);  92.318
20-29;  48.833 (49);  50.105 (51);  98.938
30-39;  37.634 (51);  36.031 (49);  73.665
40-49;  39.530 (52);  36.079 (48);  75.609
50-59;  31.495 (50);  31.535 (50);  63.030
60-69;  17.118 (49);  17.746 (51);  34.864
70-79;  10.970 (50);  11.190 (50);  22.160
80-89;   4.965 (56);   3.968 (44);   8.933
90+;   1.616 (69);     725 (31);   2.341
I alt; 265.895 (50); 263.315 (50); 529.210
