Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  13.089 (48);  14.021 (52);  27.110
10-19;  29.080 (49);  30.233 (51);  59.313
20-29;  36.699 (49);  38.573 (51);  75.272
30-39;  24.266 (50);  24.389 (50);  48.655
40-49;  25.247 (53);  22.715 (47);  47.962
50-59;  21.891 (51);  21.341 (49);  43.232
60-69;  10.787 (48);  11.469 (52);  22.256
70-79;   6.304 (49);   6.483 (51);  12.787
80-89;   3.637 (58);   2.684 (42);   6.321
90+;   1.361 (70);     581 (30);   1.942
I alt; 172.361 (50); 172.489 (50); 344.850
