Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  28.487 (49);  30.086 (51);  58.573
10-19;  46.447 (50);  47.166 (50);  93.613
20-29;  49.336 (49);  50.565 (51);  99.901
30-39;  38.134 (51);  36.450 (49);  74.584
40-49;  40.061 (52);  36.642 (48);  76.703
50-59;  31.835 (50);  31.971 (50);  63.806
60-69;  17.332 (49);  17.939 (51);  35.271
70-79;  11.094 (50);  11.301 (50);  22.395
80-89;   4.993 (56);   3.996 (44);   8.989
90+;   1.631 (69);     729 (31);   2.360
I alt; 269.350 (50); 266.845 (50); 536.195
