Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  16.569 (49);  17.398 (51);  33.967
10-19;  33.468 (49);  34.414 (51);  67.882
20-29;  40.257 (49);  41.870 (51);  82.127
30-39;  27.956 (50);  27.688 (50);  55.644
40-49;  28.933 (53);  26.050 (47);  54.983
50-59;  24.381 (51);  23.817 (49);  48.198
60-69;  12.473 (49);  13.067 (51);  25.540
70-79;   7.675 (49);   7.835 (51);  15.510
80-89;   4.122 (57);   3.120 (43);   7.242
90+;   1.484 (70);     622 (30);   2.106
I alt; 197.318 (50); 195.881 (50); 393.199
