Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  22.943 (49);  24.165 (51);  47.108
10-19;  40.563 (50);  41.301 (50);  81.864
20-29;  45.195 (49);  46.625 (51);  91.820
30-39;  33.529 (51);  32.441 (49);  65.970
40-49;  34.990 (52);  31.713 (48);  66.703
50-59;  28.402 (50);  27.994 (50);  56.396
60-69;  15.128 (49);  15.725 (51);  30.853
70-79;   9.665 (49);   9.883 (51);  19.548
80-89;   4.688 (56);   3.680 (44);   8.368
90+;   1.568 (69);     695 (31);   2.263
I alt; 236.671 (50); 234.222 (50); 470.893
