År;Uge;Bekæftede tilfælde beboere;Dødsfald blandt bekæftede beboere;Bekræftede tilfælde blandt beboere, som har påbegyndt vaccination;Bekræftede tilfælde blandt færdigvaccinerede beboere;Plejehjem med bekæftede tilfælde;Testede beboere;Plejehjem med testede beboere
2020;11;    7;  0;  0;  0;  6;    117;107
2020;12;   24;  3;  0;  0; 16;    253;189
2020;13;   67; 15;  0;  0; 30;    432;250
2020;14;  144; 35;  0;  0; 43;  1.131;361
2020;15;   84; 37;  0;  0; 34;    703;337
2020;16;   76; 30;  0;  0; 34;    914;341
2020;17;   81; 26;  0;  0; 35;  2.290;458
2020;18;   37; 25;  0;  0; 22;  2.470;485
2020;19;   20; 20;  0;  0; 15;  3.097;493
2020;20;   11;  9;  0;  0;  9;  2.527;477
2020;21;    7;  3;  0;  0;  4;  1.615;483
2020;22;   10;  4;  0;  0;  3;  1.530;430
2020;23;    3;  4;  0;  0;  2;  1.258;453
2020;24;   15;  1;  0;  0;  2;  1.056;439
2020;25;    7;  1;  0;  0;  5;  1.865;488
2020;26;    2;  2;  0;  0;  2;  1.905;504
2020;27;    4;  1;  0;  0;  3;  1.727;506
2020;28;    1;  1;  0;  0;  1;  1.550;480
2020;29;    5;  0;  0;  0;  2;  1.191;499
2020;30;    2;  1;  0;  0;  2;  1.236;478
2020;31;    0;  0;  0;  0;  0;  1.574;499
2020;32;    1;  2;  0;  0;  1;  1.623;544
2020;33;    0;  1;  0;  0;  0;  1.478;556
2020;34;    1;  0;  0;  0;  1;  1.336;543
2020;35;    0;  0;  0;  0;  0;  1.298;495
2020;36;    3;  0;  0;  0;  3;  1.326;534
2020;37;   15;  0;  0;  0;  8;  2.158;564
2020;38;   19;  5;  0;  0;  8;  2.950;569
2020;39;   21;  3;  0;  0; 10;  3.154;566
2020;40;   12;  5;  0;  0;  6;  2.970;572
2020;41;   13;  3;  0;  0; 11;  2.606;549
2020;42;   14;  7;  0;  0;  8;  2.663;523
2020;43;   28;  7;  0;  0; 11;  3.595;561
2020;44;   30;  2;  0;  0; 18;  4.621;569
2020;45;   33;  8;  0;  0; 20;  5.449;575
2020;46;   51;  8;  0;  0; 20;  5.697;570
2020;47;   84; 10;  0;  0; 29;  6.911;602
2020;48;   96; 11;  0;  0; 25;  6.381;591
2020;49;  118; 21;  0;  0; 36;  7.391;641
2020;50;  216; 22;  0;  0; 59;  7.818;611
2020;51;  316; 48;  0;  0;104; 10.162;657
2020;52;  405; 62;  0;  0;117; 10.207;620
2020;53;  468; 87; 95;  0;126; 11.241;618
2021;1;  470; 81;351;  0;127; 11.981;643
2021;2;  359;110;339;  0;102; 11.898;624
2021;3;  160; 81;134;  6; 72; 10.190;662
2021;4;   85; 55; 47; 32; 54;  8.293;608
2021;5;   47; 38;  7; 33; 22;  7.112;596
2021;6;   13; 23;  0; 12;  8;  5.504;575
2021;7;    6;  7;  0;  4;  6;  4.110;555
2021;8;    8;  2;  0;  8;  5;  3.461;538
2021;9;    5;  0;  0;  5;  4;  3.098;567
2021;10;    1;  2;  0;  1;  1;  3.159;571
2021;11;    3;  0;  2;  1;  3;  3.051;568
2021;12;    4;  0;  0;  3;  4;  2.659;567
2021;13;    2;  0;  0;  2;  2;  1.715;497
2021;14;   14;  1;  0; 12;  8;  1.791;514
2021;15;   17;  3;  0; 14;  9;  2.862;551
2021;16;   15;  3;  2; 13;  8;  2.858;529
2021;17;    7;  3;  0;  7;  6;  2.572;538
2021;18;    7;  0;  0;  6;  4;  2.750;541
2021;19;    6;  1;  0;  5;  6;  2.139;464
2021;20;    1;  1;  0;  0;  1;  2.206;430
2021;21;    1;  0;  0;  1;  1;  1.506;374
2021;22;   14;  0;  0; 14;  2;  1.622;346
2021;23;    5;  1;  0;  4;  5;  1.436;323
2021;24;    3;  0;  0;  3;  2;  1.031;272
2021;25;    0;  0;  0;  0;  0;    790;247
2021;26;    0;  0;  0;  0;  0;  1.121;230
2021;27;    5;  0;  0;  5;  2;  1.342;245
2021;28;    5;  1;  0;  5;  4;  1.942;277
2021;29;    7;  0;  0;  7;  5;  2.191;252
2021;30;   11;  3;  0;  8;  7;  2.417;267
2021;31;    7;  3;  0;  7;  4;  2.564;261
2021;32;   12;  2;  0; 12;  7;  3.069;278
2021;33;   18;  0;  0; 18; 12;  2.772;284
2021;34;   31;  2;  1; 28; 15;  3.227;294
I alt;;3.900;953;978;276;428;253.915;949
