Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  13.168 (48);  14.082 (52);  27.250
10-19;  29.183 (49);  30.321 (51);  59.504
20-29;  36.761 (49);  38.638 (51);  75.399
30-39;  24.340 (50);  24.455 (50);  48.795
40-49;  25.303 (53);  22.765 (47);  48.068
50-59;  21.928 (51);  21.380 (49);  43.308
60-69;  10.801 (48);  11.488 (52);  22.289
70-79;   6.313 (49);   6.494 (51);  12.807
80-89;   3.640 (58);   2.688 (42);   6.328
90+;   1.364 (70);     581 (30);   1.945
I alt; 172.801 (50); 172.892 (50); 345.693
