Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  19.236 (49);  20.350 (51);  39.586
10-19;  36.624 (49);  37.509 (51);  74.133
20-29;  42.486 (49);  44.015 (51);  86.501
30-39;  30.377 (51);  29.676 (49);  60.053
40-49;  31.512 (53);  28.460 (47);  59.972
50-59;  26.107 (50);  25.639 (50);  51.746
60-69;  13.624 (49);  14.166 (51);  27.790
70-79;   8.538 (49);   8.740 (51);  17.278
80-89;   4.374 (56);   3.380 (44);   7.754
90+;   1.523 (70);     656 (30);   2.179
I alt; 214.401 (50); 212.591 (50); 426.992
