Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.467 (48);  11.298 (52);  21.765
10-19;  23.509 (49);  24.826 (51);  48.335
20-29;  29.116 (50);  29.286 (50);  58.402
30-39;  20.451 (50);  20.391 (50);  40.842
40-49;  22.457 (52);  20.376 (48);  42.833
50-59;  20.434 (51);  19.920 (49);  40.354
60-69;  10.182 (48);  10.887 (52);  21.069
70-79;   5.984 (49);   6.152 (51);  12.136
80-89;   3.496 (58);   2.565 (42);   6.061
90+;   1.323 (70);     557 (30);   1.880
I alt; 147.419 (50); 146.258 (50); 293.677
