Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.825 (48);  11.686 (52);  22.511
10-19;  25.098 (49);  26.406 (51);  51.504
20-29;  32.326 (49);  33.589 (51);  65.915
30-39;  21.518 (50);  21.799 (50);  43.317
40-49;  23.123 (52);  21.036 (48);  44.159
50-59;  20.852 (51);  20.346 (49);  41.198
60-69;  10.291 (48);  10.994 (52);  21.285
70-79;   6.042 (49);   6.207 (51);  12.249
80-89;   3.515 (58);   2.585 (42);   6.100
90+;   1.328 (70);     561 (30);   1.889
I alt; 154.918 (50); 155.209 (50); 310.127
