Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  13.732 (48);  14.633 (52);  28.365
10-19;  29.942 (49);  31.055 (51);  60.997
20-29;  37.326 (49);  39.147 (51);  76.473
30-39;  24.920 (50);  24.948 (50);  49.868
40-49;  25.783 (53);  23.166 (47);  48.949
50-59;  22.251 (51);  21.654 (49);  43.905
60-69;  10.965 (48);  11.654 (52);  22.619
70-79;   6.430 (49);   6.609 (51);  13.039
80-89;   3.698 (57);   2.742 (43);   6.440
90+;   1.396 (70);     585 (30);   1.981
I alt; 176.443 (50); 176.193 (50); 352.636
