Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  11.174 (48);  12.037 (52);  23.211
10-19;  26.060 (49);  27.343 (51);  53.403
20-29;  33.888 (49);  35.620 (51);  69.508
30-39;  22.171 (50);  22.518 (50);  44.689
40-49;  23.586 (52);  21.431 (48);  45.017
50-59;  21.061 (51);  20.557 (49);  41.618
60-69;  10.381 (48);  11.100 (52);  21.481
70-79;   6.077 (49);   6.256 (51);  12.333
80-89;   3.540 (58);   2.601 (42);   6.141
90+;   1.331 (70);     563 (30);   1.894
I alt; 159.269 (50); 160.026 (50); 319.295
