Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 165.765 (49); 175.787 (51); 341.552
10-19; 259.576 (50); 257.461 (50); 517.037
20-29; 251.525 (53); 224.724 (47); 476.249
30-39; 243.179 (53); 212.271 (47); 455.450
40-49; 238.848 (54); 206.062 (46); 444.910
50-59; 196.489 (53); 177.477 (47); 373.966
60-69; 119.641 (52); 110.211 (48); 229.852
70-79;  69.182 (50);  68.338 (50); 137.520
80-89;  25.324 (53);  22.243 (47);  47.567
90+;   7.435 (69);   3.293 (31);  10.728
I alt;1.576.988 (52);1.457.893 (48);3.034.882
