Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  11.985 (48);  12.835 (52);  24.820
10-19;  27.530 (49);  28.821 (51);  56.351
20-29;  35.666 (49);  37.612 (51);  73.278
30-39;  23.237 (50);  23.559 (50);  46.796
40-49;  24.413 (52);  22.091 (48);  46.504
50-59;  21.456 (51);  20.933 (49);  42.389
60-69;  10.564 (48);  11.265 (52);  21.829
70-79;   6.164 (49);   6.360 (51);  12.524
80-89;   3.578 (58);   2.640 (42);   6.218
90+;   1.342 (70);     571 (30);   1.913
I alt; 165.935 (50); 166.687 (50); 332.622
