Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 158.445 (49); 167.853 (51); 326.298
10-19; 241.210 (50); 240.815 (50); 482.025
20-29; 226.581 (53); 203.809 (47); 430.390
30-39; 223.056 (53); 196.142 (47); 419.198
40-49; 218.939 (53); 191.362 (47); 410.301
50-59; 177.382 (52); 162.296 (48); 339.678
60-69; 106.619 (52);  99.298 (48); 205.917
70-79;  59.758 (50);  59.556 (50); 119.314
80-89;  21.799 (53);  19.043 (47);  40.842
90+;   6.498 (69);   2.878 (31);   9.376
I alt;1.440.305 (52);1.343.078 (48);2.783.384
