Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  13.911 (48);  14.816 (52);  28.727
10-19;  30.151 (49);  31.311 (51);  61.462
20-29;  37.498 (49);  39.328 (51);  76.826
30-39;  25.126 (50);  25.105 (50);  50.231
40-49;  25.922 (53);  23.303 (47);  49.225
50-59;  22.340 (51);  21.757 (49);  44.097
60-69;  11.034 (49);  11.713 (51);  22.747
70-79;   6.481 (49);   6.649 (51);  13.130
80-89;   3.716 (57);   2.754 (43);   6.470
90+;   1.409 (71);     589 (29);   1.998
I alt; 177.588 (50); 177.325 (50); 354.913
