Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  13.647 (48);  14.551 (52);  28.198
10-19;  29.819 (49);  30.940 (51);  60.759
20-29;  37.240 (49);  39.071 (51);  76.311
30-39;  24.827 (50);  24.868 (50);  49.695
40-49;  25.706 (53);  23.103 (47);  48.809
50-59;  22.216 (51);  21.613 (49);  43.829
60-69;  10.937 (48);  11.621 (52);  22.558
70-79;   6.407 (49);   6.589 (51);  12.996
80-89;   3.689 (57);   2.732 (43);   6.421
90+;   1.393 (70);     584 (30);   1.977
I alt; 175.881 (50); 175.672 (50); 351.553
