Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.759 (48);  11.621 (52);  22.380
10-19;  24.853 (49);  26.154 (51);  51.007
20-29;  31.868 (49);  32.987 (51);  64.855
30-39;  21.375 (50);  21.620 (50);  42.995
40-49;  23.017 (52);  20.947 (48);  43.964
50-59;  20.804 (51);  20.305 (49);  41.109
60-69;  10.270 (48);  10.976 (52);  21.246
70-79;   6.029 (49);   6.200 (51);  12.229
80-89;   3.513 (58);   2.577 (42);   6.090
90+;   1.328 (70);     561 (30);   1.889
I alt; 153.816 (50); 153.948 (50); 307.764
