Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  12.712 (48);  13.618 (52);  26.330
10-19;  28.538 (49);  29.766 (51);  58.304
20-29;  36.364 (49);  38.282 (51);  74.646
30-39;  23.922 (50);  24.101 (50);  48.023
40-49;  24.910 (53);  22.462 (47);  47.372
50-59;  21.728 (51);  21.181 (49);  42.909
60-69;  10.703 (48);  11.394 (52);  22.097
70-79;   6.245 (49);   6.433 (51);  12.678
80-89;   3.616 (58);   2.662 (42);   6.278
90+;   1.354 (70);     576 (30);   1.930
I alt; 170.092 (50); 170.475 (50); 340.567
