Uge;Aldersgruppe;Klassifikation;Procent af indlæggelser
uge 50 2021;0-59;Covid-19 diagnose;66,2
uge 51 2021;0-59;Covid-19 diagnose;59,1
uge 52 2021;0-59;Covid-19 diagnose;56,2
uge 1 2022;0-59;Covid-19 diagnose;51,9
uge 2 2022;0-59;Covid-19 diagnose;54,3
uge 3 2022;0-59;Covid-19 diagnose;49,5
uge 4 2022;0-59;Covid-19 diagnose;44,5
uge 5 2022;0-59;Covid-19 diagnose;39,9
uge 50 2021;60+;Covid-19 diagnose;76,7
uge 51 2021;60+;Covid-19 diagnose;81,1
uge 52 2021;60+;Covid-19 diagnose;78,8
uge 1 2022;60+;Covid-19 diagnose;72,4
uge 2 2022;60+;Covid-19 diagnose;71,1
uge 3 2022;60+;Covid-19 diagnose;70,0
uge 4 2022;60+;Covid-19 diagnose;69,1
uge 5 2022;60+;Covid-19 diagnose;67,8
uge 50 2021;0-59;Luftvejs- eller obsdiagnose;3,8
uge 51 2021;0-59;Luftvejs- eller obsdiagnose;3,1
uge 52 2021;0-59;Luftvejs- eller obsdiagnose;4,4
uge 1 2022;0-59;Luftvejs- eller obsdiagnose;3,9
uge 2 2022;0-59;Luftvejs- eller obsdiagnose;4,1
uge 3 2022;0-59;Luftvejs- eller obsdiagnose;5,7
uge 4 2022;0-59;Luftvejs- eller obsdiagnose;5,0
uge 5 2022;0-59;Luftvejs- eller obsdiagnose;5,4
uge 50 2021;60+;Luftvejs- eller obsdiagnose;4,2
uge 51 2021;60+;Luftvejs- eller obsdiagnose;2,2
uge 52 2021;60+;Luftvejs- eller obsdiagnose;2,6
uge 1 2022;60+;Luftvejs- eller obsdiagnose;3,9
uge 2 2022;60+;Luftvejs- eller obsdiagnose;4,0
uge 3 2022;60+;Luftvejs- eller obsdiagnose;2,6
uge 4 2022;60+;Luftvejs- eller obsdiagnose;3,7
uge 5 2022;60+;Luftvejs- eller obsdiagnose;5,3
uge 50 2021;0-59;Anden diagnose;30,0
uge 51 2021;0-59;Anden diagnose;37,9
uge 52 2021;0-59;Anden diagnose;39,4
uge 1 2022;0-59;Anden diagnose;44,2
uge 2 2022;0-59;Anden diagnose;41,6
uge 3 2022;0-59;Anden diagnose;44,8
uge 4 2022;0-59;Anden diagnose;50,4
uge 5 2022;0-59;Anden diagnose;54,8
uge 50 2021;60+;Anden diagnose;19,2
uge 51 2021;60+;Anden diagnose;16,7
uge 52 2021;60+;Anden diagnose;18,6
uge 1 2022;60+;Anden diagnose;23,7
uge 2 2022;60+;Anden diagnose;24,9
uge 3 2022;60+;Anden diagnose;27,4
uge 4 2022;60+;Anden diagnose;27,2
uge 5 2022;60+;Anden diagnose;26,9
