Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  26.713 (49);  28.194 (51);  54.907
10-19;  44.683 (50);  45.295 (50);  89.978
20-29;  47.969 (49);  49.326 (51);  97.295
30-39;  36.760 (51);  35.228 (49);  71.988
40-49;  38.530 (52);  35.118 (48);  73.648
50-59;  30.804 (50);  30.725 (50);  61.529
60-69;  16.688 (49);  17.327 (51);  34.015
70-79;  10.751 (49);  10.974 (51);  21.725
80-89;   4.921 (56);   3.926 (44);   8.847
90+;   1.610 (69);     715 (31);   2.325
I alt; 259.429 (50); 256.828 (50); 516.257
