Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  12.243 (48);  13.120 (52);  25.363
10-19;  27.919 (49);  29.182 (51);  57.101
20-29;  35.971 (49);  37.918 (51);  73.889
30-39;  23.516 (50);  23.783 (50);  47.299
40-49;  24.592 (53);  22.222 (47);  46.814
50-59;  21.547 (51);  21.037 (49);  42.584
60-69;  10.617 (48);  11.319 (52);  21.936
70-79;   6.189 (49);   6.389 (51);  12.578
80-89;   3.589 (58);   2.647 (42);   6.236
90+;   1.348 (70);     574 (30);   1.922
I alt; 167.531 (50); 168.191 (50); 335.722
