Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  15.763 (49);  16.571 (51);  32.334
10-19;  32.502 (49);  33.402 (51);  65.904
20-29;  39.347 (49);  41.038 (51);  80.385
30-39;  27.089 (50);  26.900 (50);  53.989
40-49;  27.995 (53);  25.173 (47);  53.168
50-59;  23.703 (51);  23.113 (49);  46.816
60-69;  11.973 (49);  12.573 (51);  24.546
70-79;   7.286 (49);   7.441 (51);  14.727
80-89;   3.988 (57);   3.012 (43);   7.000
90+;   1.468 (71);     612 (29);   2.080
I alt; 191.114 (50); 189.835 (50); 380.949
