Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  13.569 (48);  14.472 (52);  28.041
10-19;  29.708 (49);  30.823 (51);  60.531
20-29;  37.113 (49);  38.988 (51);  76.101
30-39;  24.731 (50);  24.771 (50);  49.502
40-49;  25.644 (53);  23.040 (47);  48.684
50-59;  22.165 (51);  21.562 (49);  43.727
60-69;  10.905 (48);  11.591 (52);  22.496
70-79;   6.386 (49);   6.566 (51);  12.952
80-89;   3.675 (57);   2.723 (43);   6.398
90+;   1.390 (70);     583 (30);   1.973
I alt; 175.286 (50); 175.119 (50); 350.405
