Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  14.173 (48);  15.078 (52);  29.251
10-19;  30.561 (49);  31.640 (51);  62.201
20-29;  37.726 (49);  39.539 (51);  77.265
30-39;  25.392 (50);  25.366 (50);  50.758
40-49;  26.175 (53);  23.503 (47);  49.678
50-59;  22.492 (51);  21.910 (49);  44.402
60-69;  11.119 (49);  11.806 (51);  22.925
70-79;   6.587 (49);   6.734 (51);  13.321
80-89;   3.754 (57);   2.795 (43);   6.549
90+;   1.425 (71);     594 (29);   2.019
I alt; 179.404 (50); 178.965 (50); 358.369
