Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  11.264 (48);  12.119 (52);  23.383
10-19;  26.227 (49);  27.518 (51);  53.745
20-29;  34.196 (49);  35.994 (51);  70.190
30-39;  22.309 (50);  22.683 (50);  44.992
40-49;  23.694 (52);  21.526 (48);  45.220
50-59;  21.099 (51);  20.610 (49);  41.709
60-69;  10.400 (48);  11.117 (52);  21.517
70-79;   6.089 (49);   6.266 (51);  12.355
80-89;   3.544 (58);   2.603 (42);   6.147
90+;   1.333 (70);     563 (30);   1.896
I alt; 160.155 (50); 160.999 (50); 321.154
