Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  64.454 (49);  68.383 (51); 132.837
10-19; 103.049 (50); 101.551 (50); 204.600
20-29; 106.030 (50); 104.318 (50); 210.348
30-39;  85.654 (52);  80.246 (48); 165.900
40-49;  83.780 (52);  76.437 (48); 160.217
50-59;  64.139 (50);  64.079 (50); 128.218
60-69;  32.352 (49);  33.512 (51);  65.864
70-79;  17.828 (50);  17.953 (50);  35.781
80-89;   7.594 (55);   6.118 (45);  13.712
90+;   2.362 (68);   1.104 (32);   3.466
I alt; 567.242 (51); 553.701 (49);1.120.943
