Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  17.915 (49);  18.918 (51);  36.833
10-19;  35.066 (49);  36.083 (51);  71.149
20-29;  41.360 (49);  42.984 (51);  84.344
30-39;  29.158 (50);  28.687 (50);  57.845
40-49;  30.211 (53);  27.224 (47);  57.435
50-59;  25.255 (51);  24.737 (49);  49.992
60-69;  13.089 (49);  13.643 (51);  26.732
70-79;   8.148 (50);   8.288 (50);  16.436
80-89;   4.258 (57);   3.262 (43);   7.520
90+;   1.506 (70);     642 (30);   2.148
I alt; 205.966 (50); 204.468 (50); 410.434
