Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  13.273 (48);  14.208 (52);  27.481
10-19;  29.377 (49);  30.485 (51);  59.862
20-29;  36.873 (49);  38.767 (51);  75.640
30-39;  24.469 (50);  24.566 (50);  49.035
40-49;  25.423 (53);  22.835 (47);  48.258
50-59;  22.002 (51);  21.439 (49);  43.441
60-69;  10.840 (48);  11.511 (52);  22.351
70-79;   6.327 (49);   6.514 (51);  12.841
80-89;   3.656 (58);   2.696 (42);   6.352
90+;   1.370 (70);     581 (30);   1.951
I alt; 173.610 (50); 173.602 (50); 347.212
