Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  13.607 (48);  14.512 (52);  28.119
10-19;  29.769 (49);  30.893 (51);  60.662
20-29;  37.176 (49);  39.030 (51);  76.206
30-39;  24.779 (50);  24.819 (50);  49.598
40-49;  25.670 (53);  23.077 (47);  48.747
50-59;  22.197 (51);  21.586 (49);  43.783
60-69;  10.916 (48);  11.609 (52);  22.525
70-79;   6.397 (49);   6.577 (51);  12.974
80-89;   3.681 (57);   2.725 (43);   6.406
90+;   1.392 (70);     584 (30);   1.976
I alt; 175.584 (50); 175.412 (50); 350.996
