Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  18.064 (49);  19.094 (51);  37.158
10-19;  35.282 (49);  36.261 (51);  71.543
20-29;  41.513 (49);  43.138 (51);  84.651
30-39;  29.310 (50);  28.804 (50);  58.114
40-49;  30.361 (53);  27.374 (47);  57.735
50-59;  25.363 (51);  24.851 (49);  50.214
60-69;  13.167 (49);  13.712 (51);  26.879
70-79;   8.206 (50);   8.352 (50);  16.558
80-89;   4.277 (57);   3.285 (43);   7.562
90+;   1.509 (70);     643 (30);   2.152
I alt; 207.052 (50); 205.514 (50); 412.566
