Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.951 (48);  11.825 (52);  22.776
10-19;  25.524 (49);  26.805 (51);  52.329
20-29;  33.036 (49);  34.556 (51);  67.592
30-39;  21.805 (50);  22.112 (50);  43.917
40-49;  23.311 (52);  21.212 (48);  44.523
50-59;  20.925 (51);  20.426 (49);  41.351
60-69;  10.326 (48);  11.030 (52);  21.356
70-79;   6.058 (49);   6.223 (51);  12.281
80-89;   3.528 (58);   2.592 (42);   6.120
90+;   1.329 (70);     561 (30);   1.890
I alt; 156.793 (50); 157.342 (50); 314.135
