Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  14.676 (49);  15.564 (51);  30.240
10-19;  31.179 (49);  32.232 (51);  63.411
20-29;  38.143 (49);  39.928 (51);  78.071
30-39;  25.838 (50);  25.792 (50);  51.630
40-49;  26.628 (53);  23.921 (47);  50.549
50-59;  22.800 (51);  22.204 (49);  45.004
60-69;  11.299 (49);  11.996 (51);  23.295
70-79;   6.709 (49);   6.869 (51);  13.578
80-89;   3.813 (57);   2.840 (43);   6.653
90+;   1.436 (71);     597 (29);   2.033
I alt; 182.521 (50); 181.943 (50); 364.464
