Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  11.128 (48);  11.994 (52);  23.122
10-19;  25.985 (49);  27.251 (51);  53.236
20-29;  33.770 (49);  35.469 (51);  69.239
30-39;  22.106 (50);  22.450 (50);  44.556
40-49;  23.547 (52);  21.392 (48);  44.939
50-59;  21.039 (51);  20.540 (49);  41.579
60-69;  10.368 (48);  11.088 (52);  21.456
70-79;   6.074 (49);   6.252 (51);  12.326
80-89;   3.538 (58);   2.601 (42);   6.139
90+;   1.330 (70);     563 (30);   1.893
I alt; 158.885 (50); 159.600 (50); 318.485
