Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  11.510 (48);  12.379 (52);  23.889
10-19;  26.727 (49);  28.069 (51);  54.796
20-29;  34.783 (49);  36.674 (51);  71.457
30-39;  22.676 (50);  23.032 (50);  45.708
40-49;  23.989 (52);  21.756 (48);  45.745
50-59;  21.244 (51);  20.758 (49);  42.002
60-69;  10.467 (48);  11.173 (52);  21.640
70-79;   6.113 (49);   6.302 (51);  12.415
80-89;   3.552 (58);   2.619 (42);   6.171
90+;   1.338 (70);     564 (30);   1.902
I alt; 162.399 (50); 163.326 (50); 325.725
