Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.453 (48);  11.288 (52);  21.741
10-19;  23.475 (49);  24.804 (51);  48.279
20-29;  29.055 (50);  29.209 (50);  58.264
30-39;  20.425 (50);  20.355 (50);  40.780
40-49;  22.438 (52);  20.363 (48);  42.801
50-59;  20.422 (51);  19.907 (49);  40.329
60-69;  10.182 (48);  10.885 (52);  21.067
70-79;   5.983 (49);   6.152 (51);  12.135
80-89;   3.496 (58);   2.565 (42);   6.061
90+;   1.323 (70);     557 (30);   1.880
I alt; 147.252 (50); 146.085 (50); 293.337
