Aldersgruppe;Uge 42_Ingen vaccination;Uge 42_Første vaccination;Uge 42_Anden vaccination;Uge 42_Fuld vaccineeffekt;Uge 41_Ingen vaccination;Uge 41_Første vaccination;Uge 41_Anden vaccination;Uge 41_Fuld vaccineeffekt;Uge 40_Ingen vaccination;Uge 40_Første vaccination;Uge 40_Anden vaccination;Uge 40_Fuld vaccineeffekt;Uge 39_Ingen vaccination;Uge 39_Første vaccination;Uge 39_Anden vaccination;Uge 39_Fuld vaccineeffekt;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt;Uge 27_Ingen vaccination;Uge 27_Første vaccination;Uge 27_Anden vaccination;Uge 27_Fuld vaccineeffekt
12-15;550,5;221,8;32;31,8;330,6;78,8;18,5;18,1;316;86,2;10;10,7;225,5;89,2;9,7;8;231;70,9;5,1;4,4;192,9;44,1;2,7;2,7;227,4;75,4;12;7,6;384;126,5;23,3;20,4;519,4;149,8;49,9;25,7;556,5;141,8;77;35,5;394,3;141,3;163,2;135,3;289,9;101,3;253,2;0;182,8;100,5;0;0;138,5;118,4;0;0;114,1;140,1;0;0;77;300,1;0;0
16-19;489,6;150,2;64,7;64,1;265,9;260;38,5;38,3;229,2;88;33;33,3;229,1;78,3;13,2;13,4;168,8;118,2;15,7;15,9;176,8;43,2;6,7;5,9;312,2;60,4;18,4;17;354,4;240,4;26;26,3;572,1;257,3;35,6;33,5;712,4;232,8;51,5;47,6;786,2;259;67,9;55,1;757,9;286;82,5;52;605,3;338,9;117,4;92,4;441,8;230,6;137,3;131,3;427;287,6;564,9;208,7;260,7;228,3;280;74,7
20-29;406,5;221,7;95,5;94,9;239,4;145,9;56,5;56,9;193,9;103,5;35,8;36,3;144,7;83;26,1;26,5;129;62,6;17,2;16,5;126,7;60,1;21,1;20,9;184,3;126,2;30,8;32,5;232,9;114,2;38,8;40,5;333,3;111;43,1;48,8;421,9;126;72,1;79,7;529,6;174,7;117,3;116,8;466,8;192,9;182,3;178,7;423,8;304,9;255,5;210,5;315,6;311,6;262,2;197,4;381,9;538,8;335,3;280,1;224,4;450,8;176,9;172,2
30-39;443,7;258,1;128,5;129,2;228,4;90,3;66,4;66,6;208,8;181,9;48,8;48,3;157,4;136,7;38;37,8;130,5;93,2;33;33,5;120,9;90,7;26,8;27;194,5;129,4;36,6;37,3;247,6;113,1;50,5;53,4;312,4;146,7;64,2;84,6;360,3;113,2;79,4;112,3;325,7;95,4;101,8;101,9;281;94,4;91,6;98,2;191,8;107,4;107,6;113,4;130,7;103,1;67,9;71,8;155,9;172,8;127,6;126,4;106,9;146,4;73,2;74,9
40-49;408,8;316;168,1;168,4;278,9;253,4;88,8;89,1;205,8;207,3;63,5;63,6;171,3;174;44,7;44,8;139,8;85,5;34,3;34,6;113,8;54,9;26,1;26,2;158,9;182,5;36,1;36,3;245,1;232,7;57,5;57,2;356,7;233,4;76,4;75,6;326,7;241,2;57,9;58,3;314,9;184,7;63,6;56,5;297,9;143,4;49,3;53,6;211,1;89,2;49,1;51,1;114;61;49,5;50,5;97,3;68,1;60,3;42,8;64;53,8;42,7;40,5
50-59;247,7;327,9;118,2;118,4;138,2;120,8;57,2;57,1;120,3;68,3;43,7;43,2;154,9;63,9;29,9;29,7;97,9;77;22,2;22,1;89,5;69,5;18,2;18;135,2;185,5;26,2;25,6;168,6;80,4;39,7;39,7;236,7;227;41,8;41,7;219,8;180,5;40,4;39,9;218,6;199,2;33,6;33,2;210,5;170,4;29,4;29,5;136,2;104,8;25;27,1;80,8;56,3;19;18,2;99,7;47,3;31,6;37,7;59,2;39,8;27,2;15,9
60-69;153,1;271;102,6;102,6;114,3;102,5;53,1;53,1;96,4;191,3;34,9;34,8;75,2;312,8;23,7;23,7;67,8;161,1;16,2;16,3;50,4;109,9;17;17,1;99,5;138,6;21,1;21,2;85,2;0;27,6;27,7;122,3;110,5;28;27,8;107,7;222;31,1;31,2;109,1;48,8;24;23,7;64,4;68;20,5;20,4;77,9;134,9;16,3;16,1;32,1;40,7;11,9;11,9;45,3;31,6;9,7;9,6;32,5;15,9;8;7,8
70-79;134,9;219,1;117,1;117,2;30,5;0;50,6;50,4;30,3;96,5;32,2;32,2;36,1;274,2;21,8;21,8;41,7;165,2;23,4;23,4;35,4;77,1;15,2;15,2;23,4;144,5;21,2;21,2;46,2;67,1;21;21,1;68,1;125,9;27,1;27,1;67,2;0;19,9;19,8;22,1;0;18,5;18,3;27,3;35,2;12,8;12,7;10,7;0;11;11;21;0;7;7;20,6;0;6,6;6,5;15;0;5,5;5,6
80+;111,9;251,9;80,5;80,5;111,2;120,8;33,7;33,7;22,1;349,2;29,5;29,5;43,8;223,5;18,9;18,9;32,4;0;28,3;28,3;21,3;0;18,1;18,1;31,6;0;25,2;25,2;114,5;180,8;25,6;24,8;92,3;87,6;24;24,1;30,4;0;23,6;23,7;70,1;135,8;17,2;17,3;0;0;13,5;13,5;9,8;0;9;9;9,6;0;11,6;11,6;18,9;0;7,1;7,1;9,2;0;3;3
12+;397,5;245,5;112,8;112,9;230,9;134,7;57,4;57,5;196,8;134;40,6;40,6;158,6;117,1;28,3;28,2;135,9;82,3;23,3;23,4;123,6;64,3;19;19;181,1;117,3;27,1;27,2;245,6;130;37;37,1;342,8;151;44;43,9;387,2;139;45,3;42,6;386,9;142,5;46,9;38,5;335,4;143,4;42,8;33,9;258,6;182,5;41,9;30,1;183,9;162,1;31,4;23,1;206,8;219,4;37,7;29,7;133;143,8;21,7;18,9
