Aldersgruppe;Uge 42_Ingen vaccination;Uge 42_Første vaccination;Uge 42_Anden vaccination;Uge 42_Fuld vaccineeffekt;Uge 41_Ingen vaccination;Uge 41_Første vaccination;Uge 41_Anden vaccination;Uge 41_Fuld vaccineeffekt;Uge 40_Ingen vaccination;Uge 40_Første vaccination;Uge 40_Anden vaccination;Uge 40_Fuld vaccineeffekt;Uge 39_Ingen vaccination;Uge 39_Første vaccination;Uge 39_Anden vaccination;Uge 39_Fuld vaccineeffekt;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt;Uge 27_Ingen vaccination;Uge 27_Første vaccination;Uge 27_Anden vaccination;Uge 27_Fuld vaccineeffekt
12-15;479;197;30,5;30,4;288,6;70,2;17,7;17,3;280,5;77,2;9,6;10,2;199,3;80,7;9,3;7,7;205,7;64,9;4,9;4,3;173,4;40,8;2,6;2,6;206,5;70,8;11,6;7,4;352,7;119,9;22,4;19,6;478,9;144,2;49,4;33;514,2;136,1;74,2;34,3;368,9;135,9;156,9;130,4;270,6;97,5;244,3;0;172,2;96,8;0;0;131,8;113,7;0;0;107,8;141,1;0;0;74,4;288,5;0;0
16-19;405,8;109,9;60,3;59,8;233,4;189,5;35,4;35,2;194,8;64,5;31,2;31,5;185,8;57,8;13,9;14,1;138,3;88,2;14,9;15,2;145,7;32,7;6,2;5,4;262,4;46,3;17,5;16,2;301,1;188,6;24,6;24,5;507,1;209,1;34,1;32,4;624,5;196,1;48,1;44,7;684;230,8;65,2;54;650,6;258,2;77,6;48,8;527,4;312,1;111,2;89,5;380,8;217,2;128,9;122,2;375,6;270,4;536,6;218,5;234;214,8;273,8;93,9
20-29;361,3;177,5;89,2;88,7;208,8;114,1;52,5;52,9;172,2;81,4;33,6;33,7;128,5;65,7;24,5;24,7;112,1;50,2;15,9;15,3;113,2;48,9;19,5;19,4;167,8;104,6;29;30,6;214,3;101,3;36,5;38;303,7;100,1;40,8;46,5;385,2;115,5;67,5;74,4;493,9;163,5;110,4;108,9;437,3;182,3;172;167,6;395,2;288,4;240,9;200,2;294,5;293,7;245,7;184,5;360,2;508;321;270;212,5;423,6;165,4;161
30-39;405,5;220;122,2;123;209,3;77,2;63,3;63,6;188,3;156,1;46,9;46,5;142,9;118;36;35,8;118,6;81,6;31,3;31,8;111,7;80,2;26,3;26,3;179;120,6;35;35,8;228,6;105,1;48,5;51,5;289,5;137,8;61,5;81,1;335,4;107,6;76,6;107,4;304,5;91,1;98;98,5;265,5;90,7;87,8;94,1;182,8;103;102,9;108,5;124,6;99,3;65,4;69,2;147,8;167,5;120,9;119,8;102,1;140,6;70,5;72,2
40-49;373,7;258,3;159,6;159,9;255,2;207,2;84,6;84,9;184,8;170,1;60,4;60,6;154,6;143,8;42,7;42,9;129,2;71,2;32,5;32,8;102,8;46;25,2;25,3;145,8;154,7;34,2;34,5;223,5;205,3;55,1;54,9;332,8;204,3;72,9;72,2;310,4;217,4;56;56,6;288,3;170,7;61;54,2;275,7;134,4;47,1;51,1;193,7;85,8;47,3;48,5;103,7;58,1;47,1;47,6;89;65,2;58,9;42,3;58,5;51,9;40,2;38,1
50-59;226,5;279,7;113,3;113,4;127,2;103,3;54,4;54,3;109,4;58,5;41,8;41,3;141;54,7;28,4;28,3;90,9;66;21,2;21,1;81,7;59,5;17,3;17,1;131,9;159,5;25,2;24,7;162,6;80,6;38,4;38,3;218,4;215,6;39,9;39,8;207,5;156,4;38,7;38,3;207,6;173,9;32,7;32,3;192,5;154;28,3;28,4;128,9;94,4;24;26,1;76,5;52,2;18,1;17,4;92,3;45,5;30,3;36,3;57,7;38,5;25,9;15
60-69;145,1;239,3;99,7;99,8;108,3;136,7;51,5;51,5;91,4;172;33,7;33,6;74,6;282,3;22,9;22,9;67,6;146,1;16;16;47,8;100;16,8;16,8;94,6;125,2;20,4;20,5;84,1;0;26,8;26,8;119,4;100,2;27,4;27,3;105,4;222,7;30,3;30,4;103,7;44,5;23,3;23;64,1;61,8;19,9;19,7;74,1;122,4;16,1;15,9;30,4;37,2;11,7;11,7;43;29,4;9,6;9,5;33,4;15;7,9;7,8
70-79;131,1;204,5;115,6;115,6;29,6;0;49,5;49,4;29,5;90,5;31,9;32;35,1;257,7;21,3;21,4;40,6;155;23,1;23,1;40,2;72,2;15,1;15,1;22,7;135;21,2;21,2;50,5;63,2;20,8;20,8;66,2;118,6;26,5;26,6;65,3;0;19,6;19,4;21,5;0;18,1;18;26,5;33,4;12,6;12,4;10,4;0;10,8;10,8;20,4;0;6,8;6,9;20;0;6,7;6,6;14,5;0;5,8;5,9
80+;109,2;235,8;78,7;78,7;108,5;113;33,7;33,7;21,6;327,9;29,6;29,6;42,7;210,1;18,5;18,5;31,6;0;28,1;28,1;20,7;0;18,1;18,1;30,8;0;24,7;24,7;111,7;170,5;25,8;25;90;82,9;23,9;23,9;29,6;0;23,5;23,5;68,3;129;17,2;17,3;0;0;13,2;13,2;9,5;0;9,1;9,2;18,7;0;11,7;11,7;18,4;0;7,3;7,3;18;0;3,3;3,3
12+;358,5;204,1;108;108,2;208,3;112,9;54,9;55;177,1;111,6;39,1;39,1;142,5;98,3;27,1;27,1;122,3;70;22,4;22,5;112,2;55,4;18,4;18,4;166,5;104;26,1;26,2;226,9;118,7;35,7;35,9;317,4;139,8;42,4;42,5;359,8;129,7;43,7;41,2;361,7;134,3;45,4;37,4;313,9;136;41,3;32,8;243,1;173,3;40,7;29,5;173;153,9;30,4;22,5;195,3;209,2;37,1;29,5;126,6;137,4;21,3;18,7
