Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  15.652 (49);  16.475 (51);  32.127
10-19;  32.350 (49);  33.284 (51);  65.634
20-29;  39.214 (49);  40.900 (51);  80.114
30-39;  26.941 (50);  26.778 (50);  53.719
40-49;  27.839 (53);  25.023 (47);  52.862
50-59;  23.585 (51);  23.003 (49);  46.588
60-69;  11.887 (49);  12.524 (51);  24.411
70-79;   7.219 (49);   7.368 (51);  14.587
80-89;   3.965 (57);   2.994 (43);   6.959
90+;   1.466 (71);     611 (29);   2.077
I alt; 190.118 (50); 188.960 (50); 379.078
