Aldersgruppe;Uge 40_Ingen vaccination;Uge 40_Første vaccination;Uge 40_Anden vaccination;Uge 40_Fuld vaccineeffekt;Uge 39_Ingen vaccination;Uge 39_Første vaccination;Uge 39_Anden vaccination;Uge 39_Fuld vaccineeffekt;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt;Uge 27_Ingen vaccination;Uge 27_Første vaccination;Uge 27_Anden vaccination;Uge 27_Fuld vaccineeffekt;Uge 26_Ingen vaccination;Uge 26_Første vaccination;Uge 26_Anden vaccination;Uge 26_Fuld vaccineeffekt;Uge 25_Ingen vaccination;Uge 25_Første vaccination;Uge 25_Anden vaccination;Uge 25_Fuld vaccineeffekt
12-15;283;77,1;9,5;9,8;201,1;80,7;9,2;8,5;207,6;64,9;4,8;3,9;175;40,8;2,6;2,2;208,5;70,8;11,5;7,2;356;119,9;22,4;19,5;483,3;144,2;49,3;27,4;518,9;136,1;74,4;9,5;372,2;135,9;157,7;42,6;272,9;97,5;246,4;0;173,6;96,8;0;0;132,7;113,7;0;0;108,4;141,1;0;0;74,6;288,4;0;0;39,2;206,4;0;0;25,2;0;0;0
16-19;196,1;64,5;31,2;31,4;187;57,8;13,9;14;139,2;88,3;14,9;15;146,7;32,8;6,2;5,4;264,2;46,4;17,4;15,9;303,2;188,6;24,5;24,7;510,7;209,1;34;33,4;629,1;196,1;47,9;43,3;689,4;230,8;65,1;52,6;656,1;258;77,5;49;530,8;311,4;111,3;72,6;385,5;216,1;128,7;115,6;381,3;268,9;534,6;234,9;239;213,6;270,7;87,7;153,9;162,1;43,5;23,7;44,3;32,6;23,2;25,2
20-29;174;81,6;33,6;33,8;129,8;65,9;24,5;24,5;113,3;50,2;15,9;15,1;114,4;48,9;19,5;19,6;169,6;104,7;29;30,3;215,9;101,4;36,6;36;306,6;100,1;40,9;42,2;388,7;115,5;67,5;68,1;498,1;163,6;110,5;94,6;440,8;182,3;171,9;145,3;397,3;288,6;240,6;192,8;296,2;294;245,5;199,6;361;509,7;319,4;267,9;212,8;425,8;165,2;157,5;121;259,8;63,8;57,8;52,8;126,5;14,2;8,8
30-39;188,9;156,3;46,9;46,3;143,2;118,1;36;35,9;119,4;81,6;31,3;31,5;112,4;80,2;26,2;26,7;180,2;120,7;35;36,1;229;105,2;48,5;52,9;291,4;137,8;61,5;75;337,6;107,6;76,6;93,8;306,4;91,1;98;95,3;267,1;90,7;87,9;89,8;183,9;103;103;105,8;125,6;99,2;65,4;68,5;148,6;167,2;120,9;118,9;102,5;139,9;70,5;70,5;61,7;74,8;35,5;36,9;38,3;50,3;21,5;13,3
40-49;185,6;170,4;60,4;60,4;155,3;144;42,7;42,9;129,8;71,2;32,5;32,6;103,3;46;25,2;25,3;146,5;154,8;34,2;34,1;224,5;205,4;55;54,9;334,3;204,4;72,8;72,5;311,9;220;55,9;54,3;289,7;170,8;60,9;53,4;276,9;134,4;47;43,4;193,7;85,8;47,3;44,5;104,2;58,1;47,1;45,4;89,5;65,2;59;43,1;58,9;51,7;40,2;37,5;32,8;35,1;14,1;12,5;26,7;24,7;2,1;2,2
50-59;111,5;58,5;41,6;41,3;141,6;54,7;28,4;28,2;91,3;66;21,2;21,1;82,1;59,5;17,3;17,1;132,5;159,5;25,2;24,7;163,3;80,7;38,4;38,3;219,3;215,7;39,9;39,9;208,4;156,5;38,7;38,4;208,5;174;32,7;32,2;193,4;154,2;28,3;27,8;129,4;94,7;24;24;78,2;52,5;18,1;17,6;92,7;45,8;30,3;28,3;57,9;38,6;25,9;19,5;31,9;18,7;20,6;12,1;17,9;11,1;8,2;6
60-69;91,7;172;33,7;33,7;74,8;282,5;22,9;22,9;67,8;146,3;16;16;48;100;16,8;16,8;95;125,2;20,4;20,4;84,4;0;26,7;26,8;119,8;100,3;27,4;27,3;105,8;222,8;30,3;30,4;104,1;44,5;23,3;23;64,3;61,9;19,8;19,8;74,4;122,6;16,1;16,1;30,6;37,4;11,7;11,4;43,2;29,5;9,6;9;33,5;15,2;7,9;7,8;12,4;12,2;3,1;3,2;9,5;5;2,9;2,5
70-79;29,5;91;32;32;35,2;259,1;21,4;21,4;40,7;155,9;23,2;23,2;40,3;72,5;15,1;15,1;22,8;135,7;21,2;21,2;50,7;63,5;20,8;20,8;66,4;119,1;26,6;26,6;65,5;0;19,6;19,6;21,5;0;18,2;18;26,6;33,5;12,6;12,6;10,4;0;10,8;10,8;20,5;0;6,9;6,9;20;0;6,7;6,7;14,6;0;5,8;5,8;0;0;3,3;3,3;13,8;8,2;1,8;1,8
80+;21,7;325,4;29,7;29,8;43;208,3;18,6;18,6;31,8;0;28,2;28,2;20,9;0;18,2;18,2;31;0;24,8;24,8;112,6;169,5;25,9;25,5;90,7;82,5;24;24;29,9;0;23,6;23,6;68,9;128,6;17,3;17,3;0;0;13,3;13,3;9,6;0;9,2;9,2;18,8;0;11,8;11,8;18,5;0;7,4;7,4;18,1;0;3,3;3,3;0;31,9;1,1;1,1;0;0;1,5;1,5
12+;178,4;111,7;39;39;143,4;98,3;27,1;27,1;123,2;70,1;22,4;22,3;113;55,5;18,4;18,4;167,7;104;26,1;26;228,2;118,7;35,7;35,8;319,7;139,8;42,4;42,3;362,3;130;43,7;41,2;364,1;134,3;45,4;38,1;316;136;41,3;33,7;244,3;173,4;40,7;30,8;174,2;153,9;30,4;23,7;196,2;209,2;37;28,4;127,1;137,4;21,3;18,6;74,1;70,1;9,7;8,1;37,6;24,5;4,2;3,1
