Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld vaccineeffekt;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld vaccineeffekt;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld vaccineeffekt;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld vaccineeffekt;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld vaccineeffekt;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld vaccineeffekt;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld vaccineeffekt
Uge 40;1408014;80595;4376046;4351242;1293714;67101;4163851;4142425;2216;90;1690;1679;57432;3470;159885;158901;67524;3981;178997;177880;32;0;18;17;51;2;53;53
Uge 39;1415182;91535;4359836;4324660;1302743;76816;4151604;4120930;1715;90;1173;1163;50243;3347;149062;147946;59105;3836;165673;164412;25;0;9;8;38;4;42;42
Uge 38;1423239;109882;4333956;4289079;1313695;93437;4130850;4091129;1432;77;964;951;51133;4272;147440;145945;59510;4849;162018;160298;16;0;6;6;33;2;54;54
Uge 37;1433084;133433;4300909;4231932;1326374;114983;4103634;4041260;1294;74;781;769;54130;5887;160378;157880;62565;6738;176764;173948;17;0;11;10;38;5;44;44
Uge 36;1446085;168214;4253535;4126362;1341838;147479;4062834;3945466;1907;173;1101;1066;69715;9324;192324;186412;80697;10673;213610;206942;40;2;8;8;85;9;59;58
Uge 35;1465651;232551;4170865;3969710;1362449;208410;3988519;3800077;2661;272;1475;1407;94687;16411;213816;201949;112722;19240;242585;228898;56;5;16;14;125;13;48;46
Uge 34;1495410;340436;4033762;3721322;1391972;311758;3862239;3566901;3997;471;1698;1564;128554;30004;246600;223129;156439;35932;283191;255539;82;5;12;11;128;11;59;59
Uge 33;1533131;512494;3824304;3439191;1428279;476934;3666172;3302380;4461;665;1662;1408;119169;43178;210709;181646;146814;52761;246433;211437;101;2;11;9;150;13;58;56
Uge 32;1579788;803190;3487608;3201766;1474190;755172;3349575;3079762;4150;1076;1570;1210;98303;62217;168535;147986;117336;74044;193790;169478;102;3;14;11;119;29;37;34
Uge 31;1653569;1000114;3217258;2952009;1545162;943207;3094921;2843875;3619;1353;1324;992;101536;87692;155168;134670;117488;102846;175820;151756;85;7;6;3;72;14;36;34
Uge 30;1768826;1128323;2975144;2641415;1654935;1065950;2866045;2548983;3053;1946;1200;803;111584;111140;139185;112295;129547;131295;157674;126443;75;10;12;10;68;21;23;22
Uge 29;1944209;1269812;2658559;2336688;1821724;1201231;2565468;2258234;2493;1946;805;550;142622;142501;121347;91458;166867;168553;136331;102314;45;8;4;3;66;12;18;16
Uge 28;2171445;1348812;2352759;2094045;2038789;1278030;2273670;2025549;3121;2804;856;582;200115;176786;109792;86330;239324;215959;126481;99199;56;18;15;13;68;15;17;17
Uge 27;2448333;1310428;2114434;1826158;2303454;1244938;2045309;1768937;2346;1791;444;333;258307;166177;96453;73169;311147;201266;109774;82964;49;10;6;6;41;11;8;6
Uge 26;2618014;1403033;1853177;1626667;2468082;1337253;1795193;1577328;1506;975;175;128;273360;157837;73548;58857;331999;190412;83422;66644;20;8;4;3;28;5;4;3
Uge 25;2840153;1380484;1653882;1473979;2684180;1319386;1603826;1429640;888;337;68;45;257414;123242;56227;46822;313216;145856;62445;51845;10;1;1;1;28;9;7;5
