Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  13.803 (48);  14.701 (52);  28.504
10-19;  30.011 (49);  31.152 (51);  61.163
20-29;  37.370 (49);  39.207 (51);  76.577
30-39;  24.995 (50);  25.004 (50);  49.999
40-49;  25.837 (53);  23.217 (47);  49.054
50-59;  22.281 (51);  21.695 (49);  43.976
60-69;  10.982 (48);  11.677 (52);  22.659
70-79;   6.444 (49);   6.622 (51);  13.066
80-89;   3.701 (57);   2.747 (43);   6.448
90+;   1.399 (70);     586 (30);   1.985
I alt; 176.823 (50); 176.608 (50); 353.431
