Uge;Aldersgruppe;Klassifikation;Procent af indlæggelser
uge 2 2022;0-59;Covid-19 diagnose;53,7
uge 3 2022;0-59;Covid-19 diagnose;49,3
uge 4 2022;0-59;Covid-19 diagnose;44,1
uge 5 2022;0-59;Covid-19 diagnose;39,8
uge 6 2022;0-59;Covid-19 diagnose;41,0
uge 7 2022;0-59;Covid-19 diagnose;41,1
uge 8 2022;0-59;Covid-19 diagnose;33,2
uge 9 2022;0-59;Covid-19 diagnose;34,4
uge 2 2022;60+;Covid-19 diagnose;70,8
uge 3 2022;60+;Covid-19 diagnose;68,8
uge 4 2022;60+;Covid-19 diagnose;66,5
uge 5 2022;60+;Covid-19 diagnose;64,3
uge 6 2022;60+;Covid-19 diagnose;62,8
uge 7 2022;60+;Covid-19 diagnose;62,6
uge 8 2022;60+;Covid-19 diagnose;57,9
uge 9 2022;60+;Covid-19 diagnose;51,5
uge 2 2022;0-59;Luftvejs- eller obsdiagnose;4,0
uge 3 2022;0-59;Luftvejs- eller obsdiagnose;5,7
uge 4 2022;0-59;Luftvejs- eller obsdiagnose;4,9
uge 5 2022;0-59;Luftvejs- eller obsdiagnose;5,3
uge 6 2022;0-59;Luftvejs- eller obsdiagnose;4,7
uge 7 2022;0-59;Luftvejs- eller obsdiagnose;5,6
uge 8 2022;0-59;Luftvejs- eller obsdiagnose;5,3
uge 9 2022;0-59;Luftvejs- eller obsdiagnose;5,0
uge 2 2022;60+;Luftvejs- eller obsdiagnose;3,9
uge 3 2022;60+;Luftvejs- eller obsdiagnose;2,6
uge 4 2022;60+;Luftvejs- eller obsdiagnose;4,4
uge 5 2022;60+;Luftvejs- eller obsdiagnose;6,6
uge 6 2022;60+;Luftvejs- eller obsdiagnose;4,6
uge 7 2022;60+;Luftvejs- eller obsdiagnose;4,1
uge 8 2022;60+;Luftvejs- eller obsdiagnose;6,5
uge 9 2022;60+;Luftvejs- eller obsdiagnose;6,6
uge 2 2022;0-59;Anden diagnose;42,3
uge 3 2022;0-59;Anden diagnose;45,0
uge 4 2022;0-59;Anden diagnose;51,0
uge 5 2022;0-59;Anden diagnose;54,9
uge 6 2022;0-59;Anden diagnose;54,3
uge 7 2022;0-59;Anden diagnose;53,2
uge 8 2022;0-59;Anden diagnose;61,5
uge 9 2022;0-59;Anden diagnose;60,6
uge 2 2022;60+;Anden diagnose;25,3
uge 3 2022;60+;Anden diagnose;28,6
uge 4 2022;60+;Anden diagnose;29,1
uge 5 2022;60+;Anden diagnose;29,1
uge 6 2022;60+;Anden diagnose;32,6
uge 7 2022;60+;Anden diagnose;33,3
uge 8 2022;60+;Anden diagnose;35,6
uge 9 2022;60+;Anden diagnose;41,8
