Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.523 (48);  11.390 (52);  21.913
10-19;  23.846 (49);  25.142 (51);  48.988
20-29;  29.676 (50);  30.034 (50);  59.710
30-39;  20.677 (50);  20.668 (50);  41.345
40-49;  22.600 (52);  20.537 (48);  43.137
50-59;  20.530 (51);  20.038 (49);  40.568
60-69;  10.208 (48);  10.907 (52);  21.115
70-79;   5.996 (49);   6.166 (51);  12.162
80-89;   3.499 (58);   2.567 (42);   6.066
90+;   1.323 (70);     558 (30);   1.881
I alt; 148.878 (50); 148.007 (50); 296.885
