Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 165.875 (49); 175.890 (51); 341.765
10-19; 259.803 (50); 257.661 (50); 517.464
20-29; 252.117 (53); 225.212 (47); 477.329
30-39; 243.705 (53); 212.755 (47); 456.460
40-49; 239.656 (54); 206.687 (46); 446.343
50-59; 197.720 (53); 178.495 (47); 376.215
60-69; 120.715 (52); 111.120 (48); 231.835
70-79;  70.156 (50);  69.226 (50); 139.382
80-89;  25.647 (53);  22.605 (47);  48.252
90+;   7.507 (69);   3.331 (31);  10.838
I alt;1.582.901 (52);1.462.982 (48);3.045.883
