Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  13.959 (48);  14.862 (52);  28.821
10-19;  30.246 (49);  31.395 (51);  61.641
20-29;  37.550 (49);  39.377 (51);  76.927
30-39;  25.175 (50);  25.154 (50);  50.329
40-49;  25.970 (53);  23.334 (47);  49.304
50-59;  22.370 (51);  21.782 (49);  44.152
60-69;  11.047 (48);  11.733 (52);  22.780
70-79;   6.495 (49);   6.663 (51);  13.158
80-89;   3.723 (57);   2.763 (43);   6.486
90+;   1.414 (71);     591 (29);   2.005
I alt; 177.949 (50); 177.654 (50); 355.603
