Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.589 (48);  11.450 (52);  22.039
10-19;  24.132 (49);  25.458 (51);  49.590
20-29;  30.310 (50);  30.899 (50);  61.209
30-39;  20.864 (50);  20.946 (50);  41.810
40-49;  22.736 (52);  20.652 (48);  43.388
50-59;  20.625 (51);  20.118 (49);  40.743
60-69;  10.223 (48);  10.933 (52);  21.156
70-79;   6.005 (49);   6.178 (51);  12.183
80-89;   3.502 (58);   2.569 (42);   6.071
90+;   1.323 (70);     559 (30);   1.882
I alt; 150.309 (50); 149.762 (50); 300.071
