Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  13.233 (48);  14.150 (52);  27.383
10-19;  29.288 (49);  30.420 (51);  59.708
20-29;  36.817 (49);  38.706 (51);  75.523
30-39;  24.403 (50);  24.510 (50);  48.913
40-49;  25.365 (53);  22.805 (47);  48.170
50-59;  21.970 (51);  21.416 (49);  43.386
60-69;  10.821 (48);  11.499 (52);  22.320
70-79;   6.322 (49);   6.505 (51);  12.827
80-89;   3.651 (58);   2.691 (42);   6.342
90+;   1.365 (70);     581 (30);   1.946
I alt; 173.235 (50); 173.283 (50); 346.518
